14.02.2022 11:36:28.221 INFO  - Start parsing: https://bank.gov.ua/ua/statistic/nbureport/regindicator-statreport/files-21 ...
14.02.2022 11:36:29.305 DEBUG - tr:1
14.02.2022 11:36:29.306 DEBUG - 	td0:Балансова звітність банків
14.02.2022 11:36:29.333 DEBUG - 	td:2:"Дані про підприємства – боржники банку"
14.02.2022 11:36:29.333 DEBUG - 	td:3:29.01.2021
14.02.2022 11:36:29.333 DEBUG - 	td:4:Registry
14.02.2022 11:36:29.333 DEBUG - 	td:5:29.01.2021
14.02.2022 11:36:29.333 DEBUG - 	td:6:Domain_List
14.02.2022 11:36:29.333 DEBUG - 	td:7:26.11.2021
14.02.2022 11:36:29.334 DEBUG - 	td:8:Description
14.02.2022 11:36:29.334 DEBUG - 	td:9:24.12.2021
14.02.2022 11:36:29.334 DEBUG - 	td:10:Controls
14.02.2022 11:36:29.334 DEBUG - 	td:11:t3vx
14.02.2022 11:36:29.334 DEBUG - tr:17
14.02.2022 11:36:29.334 DEBUG - 	td0:42X
14.02.2022 11:36:29.334 DEBUG - 	td:1:42X
14.02.2022 11:36:29.334 DEBUG - 	td:2:"Дані щодо максимального ризику на одного контрагента"
14.02.2022 11:36:29.334 DEBUG - 	td:3:05.11.2021
14.02.2022 11:36:29.335 DEBUG - 	td:4:Registry
14.02.2022 11:36:29.335 DEBUG - 	td:5:14.01.2021
14.02.2022 11:36:29.335 DEBUG - 	td:6:Domain_List
14.02.2022 11:36:29.335 DEBUG - 	td:7:
14.02.2022 11:36:29.335 DEBUG - 	td:8:
14.02.2022 11:36:29.335 DEBUG - 	td:9:30.12.2021
14.02.2022 11:36:29.335 DEBUG - 	td:10:Controls
14.02.2022 11:36:29.335 DEBUG - 	td:11:t42x
14.02.2022 11:36:29.335 DEBUG - tr:18
14.02.2022 11:36:29.336 DEBUG - 	td0:4BX
14.02.2022 11:36:29.336 DEBUG - 	td:1:4BX
14.02.2022 11:36:29.336 DEBUG - 	td:2:"Дані про дотримання вимог щодо достатності регулятивного капіталу та економічних нормативів банківською групою та її підгрупами"
14.02.2022 11:36:29.336 DEBUG - 	td:3:22.11.2019
14.02.2022 11:36:29.336 DEBUG - 	td:4:Registry
14.02.2022 11:36:29.336 DEBUG - 	td:5:22.06.2018
14.02.2022 11:36:29.336 DEBUG - 	td:6:Domain_List
14.02.2022 11:36:29.336 DEBUG - 	td:7:
14.02.2022 11:36:29.336 DEBUG - 	td:8:
14.02.2022 11:36:29.336 DEBUG - 	td:9:20.08.2019
14.02.2022 11:36:29.336 DEBUG - 	td:10:Controls
14.02.2022 11:36:29.337 DEBUG - 	td:11:t4bx
14.02.2022 11:36:29.337 DEBUG - tr:19
14.02.2022 11:36:29.337 DEBUG - 	td0:6BX
14.02.2022 11:36:29.337 DEBUG - 	td:1:6BX
14.02.2022 11:36:29.337 DEBUG - 	td:2:"Дані про розмір кредитного ризику за активними банківськими операціями"
14.02.2022 11:36:29.337 DEBUG - 	td:3:20.08.2021
14.02.2022 11:36:29.337 DEBUG - 	td:4:Registry
14.02.2022 11:36:29.337 DEBUG - 	td:5:13.08.2018
14.02.2022 11:36:29.337 DEBUG - 	td:6:Domain_List
14.02.2022 11:36:29.337 DEBUG - 	td:7:
14.02.2022 11:36:29.338 DEBUG - 	td:8:
14.02.2022 11:36:29.338 DEBUG - 	td:9:08.09.2021
